SiteID,Taxon ID,Scientific name,Sc,V,I,F,N,P,Se,No of guilds
5,6001652,Graydidascalus brachyurus,0,0,0,1,0,0,1,2
5,6001653,Pionus menstruus,0,0,0,1,1,0,1,3
5,6001685,Amazona farinosa,0,0,0,1,0,0,1,2
5,6001691,Deroptyus accipitrinus,0,0,0,1,1,0,0,2
5,6001756,Chaetura cinereiventris,0,0,1,0,0,0,0,1
5,6001801,Threnetes leucurus,0,0,1,0,1,0,0,2
5,6001812,Phaethornis philippii,0,0,1,0,1,0,0,2
5,6001819,Phaethornis ruber,0,0,1,0,1,0,0,2
5,6001834,Campylopterus largipennis,0,0,1,0,1,0,0,2
5,6001844,Florisuga mellivora,0,0,1,0,1,0,0,2
5,6001899,Thalurania furcata,0,0,1,0,1,0,0,2
5,6002348,Nyctibius grandis,0,0,1,0,0,0,0,1
5,6002395,Caprimulgus nigrescens,0,0,1,0,0,0,0,1
5,6002484,Patagioenas cayennensis,0,0,0,1,0,0,1,2
5,6002582,Leptotila rufaxilla,0,0,0,0,0,0,1,1
5,6002602,Geotrygon montana,0,0,1,1,0,0,1,3
5,6002804,Psophia leucoptera,0,0,0,1,0,0,0,1
5,6003349,Harpagus bidentatus,0,1,1,0,0,0,0,2
5,6003490,Buteogallus urubitinga,1,1,0,0,0,0,0,2
5,6003499,Buteo magnirostris,0,1,1,0,0,0,0,2
5,6003504,Buteo brachyurus,0,1,0,0,0,0,0,1
5,6003563,Daptrius ater,0,1,1,0,0,0,0,2
5,6003564,Ibycter americanus,0,0,1,0,0,0,0,1
5,6003609,Falco rufigularis,0,1,1,0,0,0,0,2
5,6003818,Cathartes aura,1,0,0,0,0,0,0,1
5,6003820,Cathartes melambrotus,1,0,0,0,0,0,0,1
5,6004095,Corythopis torquatus,0,0,1,0,0,0,0,1
5,6004130,Myiopagis gaimardii,0,0,1,1,0,0,0,2
5,6004233,Platyrinchus platyrhynchos,0,0,1,0,0,0,0,1
5,6004235,Onychorhynchus coronatus,0,0,1,0,0,0,0,1
5,6004270,Contopus virens,0,0,1,0,0,0,0,1
5,6004345,Knipolegus poecilocercus,0,0,1,0,0,0,0,1
5,6004368,Attila citriniventris,0,0,1,1,0,0,0,2
5,6004378,Laniocera hypopyrra,0,0,1,1,0,0,0,2
5,6004405,Ramphotrigon ruficauda,0,0,1,1,0,0,0,2
5,6004414,Tyrannus savana,0,0,1,1,0,0,0,2
5,6004430,Myiodynastes maculatus,0,1,1,1,0,0,0,3
5,6004440,Schiffornis major,0,0,1,1,0,0,0,2
5,6004441,Schiffornis turdina,0,0,1,1,0,0,0,2
5,6004457,Pachyramphus minor,0,0,1,1,0,0,0,2
5,6004461,Tityra semifasciata,0,0,0,1,0,0,0,1
5,6004498,Lipaugus vociferans,0,0,1,1,0,0,0,2
5,6004537,Pipra rubrocapilla,0,0,1,1,0,0,0,2
5,6004541,Lepidothrix coronata,0,0,0,1,0,0,0,1
5,6004580,Tyranneutes stolzmanni,0,0,0,1,0,0,0,1
5,6004585,Cymbilaimus lineatus,0,0,1,0,0,0,0,1
5,6004610,Thamnophilus aethiops,0,0,1,0,0,0,0,1
5,6004613,Thamnophilus murinus,0,0,1,0,0,0,0,1
5,6004621,Pygiptila stellaris,0,0,1,0,0,0,0,1
5,6004622,Megastictus margaritatus,0,0,1,0,0,0,0,1
5,6004629,Dysithamnus mentalis,0,0,1,0,0,0,0,1
5,6004653,Epinecrophylla haematonota,0,0,1,0,0,0,0,1
5,6004657,Myrmotherula axillaris,0,0,1,0,0,0,0,1
5,6004661,Myrmotherula longipennis,0,0,1,0,0,0,0,1
5,6004663,Myrmotherula iheringi,0,0,1,0,0,0,0,1
5,6004721,Myrmoborus myotherinus,0,0,1,0,0,0,0,1
5,6004731,Schistocichla schistacea,0,0,1,0,0,0,0,1
5,6004747,Myrmeciza hyperythra,0,0,1,0,0,0,0,1
5,6004760,Gymnopithys salvini,0,0,1,0,0,0,0,1
5,6004762,Rhegmatorhina melanosticta,0,0,1,0,0,0,0,1
5,6004768,Hylophylax naevius,0,0,1,0,0,0,0,1
5,6004773,Phlegopsis erythroptera,0,0,1,0,0,0,0,1
5,6004957,Hyloctistes subulatus,0,0,1,0,0,0,0,1
5,6004988,Automolus infuscatus,0,1,1,0,0,0,0,2
5,6004993,Automolus rufipileatus,0,0,1,0,0,0,0,1
5,6004996,Sclerurus mexicanus,0,0,1,0,0,0,0,1
5,6005016,Certhiasomus stictolaemus,0,0,1,0,0,0,0,1
5,6005018,Glyphorynchus spirurus,0,0,1,0,0,0,0,1
5,6005034,Xiphorhynchus obsoletus,0,0,1,0,0,0,0,1
5,6005035,Xiphorhynchus ocellatus,0,0,1,0,0,0,0,1
5,6005053,Campylorhamphus trochilirostris,0,0,1,0,0,0,0,1
5,6005056,Campylorhamphus procurvoides,0,0,1,0,0,0,0,1
5,6005057,Formicarius colma,0,0,1,0,0,0,0,1
5,6005058,Formicarius analis,0,0,1,0,0,0,0,1
5,6005116,Conopophaga aurita,0,0,1,0,0,0,0,1
5,6005130,Liosceles thoracicus,0,0,1,0,0,0,0,1
5,6005584,Vireo olivaceus,0,0,1,0,0,0,0,1
5,6006431,Turdus obsoletus,0,0,1,1,0,0,1,3
5,6006982,Microcerculus marginatus,0,0,1,0,0,0,0,1
5,6006987,Cyphorhinus arada,0,0,1,0,0,0,0,1
5,6007094,Pygochelidon cyanoleuca,0,0,1,0,0,0,0,1
5,6009280,Tachyphonus cristatus,0,0,1,1,0,0,0,2
5,6009282,Tachyphonus surinamus,0,0,1,1,0,0,0,2
5,6009289,Habia rubica,0,0,1,0,0,0,0,1
5,6009371,Euphonia rufiventris,0,0,0,1,0,0,0,1
5,6009386,Tangara chilensis,0,0,1,1,0,0,0,2
5,6009393,Tangara schrankii,0,0,0,1,0,0,0,1
5,6009444,Cyanerpes caeruleus,0,0,1,1,0,0,0,2
5,6009659,Psarocolius viridis,0,0,1,0,0,0,0,1
5,6009668,Cacicus cela,0,1,1,1,1,0,0,4
5,39535965,Willisornis poecilinotus,0,0,1,0,0,0,0,1
5,60030208,Thamnomanes saturninus,0,0,1,0,0,0,0,1
5,60032159,Capito niger,0,0,0,1,0,0,0,1
5,60032179,Myrmeciza hemimelaena,0,0,1,0,0,0,0,1
5,60032193,Chlorostilbon mellisugus,0,0,1,0,1,0,0,2
5,60032249,Xiphorhynchus guttatus,0,0,1,0,0,0,0,1
5,60032467,Pteroglossus azara,0,0,0,1,0,0,0,1
5,60032470,Ramphastos vitellinus,0,1,1,1,0,0,0,3
5,60032522,Zimmerius gracilipes,0,0,1,1,0,0,0,2
5,60032666,Trogon viridis,0,0,1,1,0,0,0,2
5,60032668,Trogon melanurus,0,0,1,1,0,0,0,2
6,60014,Tinamus major,0,0,0,1,0,0,1,2
6,60020,Crypturellus cinereus,0,0,0,1,0,0,1,2
6,60021,Crypturellus soui,0,0,0,1,0,1,1,3
6,60023,Crypturellus obsoletus,0,0,0,0,0,0,1,1
6,60025,Crypturellus undulatus,0,0,1,1,0,0,1,3
6,60036,Crypturellus variegatus,0,0,1,1,0,0,1,3
6,60070,Ortalis motmot,0,0,0,1,0,0,0,1
6,60082,Penelope jacquacu,0,0,0,1,0,0,0,1
6,600100,Mitu mitu,0,0,0,1,0,0,0,1
6,600324,Odontophorus gujanensis,0,0,1,1,0,0,0,2
6,600578,Melanerpes cruentatus,0,0,1,1,0,0,0,2
6,600663,Veniliornis passerinus,0,0,1,0,0,0,0,1
6,600693,Celeus grammicus,0,0,1,1,0,0,0,2
6,600696,Celeus elegans,0,0,1,0,0,0,0,1
