SiteID,Study,TaxonID,Species,Abundance
8,4,6001899,Thalurania furcata,0.23
8,4,6002602,Geotrygon montana,0.23
8,4,6004046,Mionectes oleagineus,1.4
8,4,6004047,Mionectes macconnelli,0.23
8,4,6004129,Tyrannulus elatus,0.62
8,4,6004131,Myiopagis caniceps,0.23
8,4,6004235,Onychorhynchus coronatus,0.15
8,4,6004279,Empidonax traillii,0.08
8,4,6004441,Schiffornis turdina,0.39
8,4,6004534,Pipra filicauda,0.7
8,4,6004536,Pipra erythrocephala,1.56
8,4,6004540,Pipra pipra,0.08
8,4,6004541,Lepidothrix coronata,3.06
8,4,6004572,Neopipo cinnamomea,0.08
8,4,6004580,Tyranneutes stolzmanni,0.23
8,4,6004637,Thamnomanes caesius,0.08
8,4,6004668,Myrmotherula menetriesii,0.08
8,4,6004707,Cercomacra tyrannina,1.98
