"Site","Study","PF_SF","Age","Point_obs","Mist_nets","Transect","Vocal","SpR","FDpg","FRic","qual_FRic","FEve","FDiv","FDis","RaoQ","PF_SpR","PF_FRic","PF_FEve","PF_FDiv","PF_FDis","PF_RaoQ","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp","Rao_comp"
26,9,"SF",30,"Yes","Yes","No","Yes",96,4.57612925042369,6.36324829048464e-12,0.708842257809274,0.798220465878456,0.830368830004591,0.0560909996914841,0.00418196456145849,156,9.02976848299616e-11,0.821353707995979,0.830019263063688,0.065156468339679,0.0061138789976125,-0.485507815781701,-2.65257283697728,-0.0285690101668147,0.000421066553689925,-0.149816216093244,-0.379780305332742
19,8,"SF",1,"Yes","No","No","Yes",47,3.84203954135876,3.8033892771792e-12,0.710217940297915,0.873300297028095,0.796060678655628,0.074503457396971,0.00880694243103155,84,2.61873330126135e-11,0.857313282275773,0.773285209373747,0.067210799876901,0.00838384591413572,-0.580669197133255,-1.92938323679576,0.0184760708284321,0.0290274676080948,0.103011585251603,0.0492335742256529
20,8,"SF",5,"Yes","No","No","Yes",67,4.66845609328589,5.73699464702499e-12,0.710217940297915,0.872883265587053,0.825231013529858,0.0605845965854938,0.00537641342770869,84,2.61873330126135e-11,0.857313282275773,0.773285209373747,0.067210799876901,0.00838384591413572,-0.226124179452348,-1.51834032849779,0.0179984217909547,0.0650154187393942,-0.103793268062042,-0.444285246108163
21,8,"SF",10,"Yes","No","No","Yes",66,3.95662349622089,3.29271640803102e-13,0.710217940297915,0.877478577360375,0.833697234096093,0.0553821238726777,0.00382281853315639,84,2.61873330126135e-11,0.857313282275773,0.773285209373747,0.067210799876901,0.00838384591413572,-0.241162056816888,-4.37614803400203,0.0232491330647975,0.0752223629882913,-0.193577079165653,-0.785318762391538
22,8,"SF",25,"Yes","No","No","Yes",75,4.43708793303093,1.84379439759816e-11,0.710217940297915,0.862271280543813,0.777645640896017,0.0671176611772675,0.00798184616877843,84,2.61873330126135e-11,0.857313282275773,0.773285209373747,0.067210799876901,0.00838384591413572,-0.113328685307003,-0.350865107192028,0.00576652304768493,0.00562300119385345,-0.00138673091060815,-0.0491370146722065
23,8,"SF",100,"Yes","No","No","Yes",83,4.71714486457807,3.89116534603567e-11,0.710217940297915,0.868162779818604,0.756659034968559,0.0733371037403785,0.0100123905054161,84,2.61873330126135e-11,0.857313282275773,0.773285209373747,0.067210799876901,0.00838384591413572,-0.0119761910467151,0.39601795952181,0.0125758227185279,-0.0217352089860011,0.0872327239339641,0.177516627698284
14,6,"SF",4,"Yes","Yes","No","Yes",55,4.08892538939681,6.49925518413753e-11,0.806902437941476,0.835692384133614,0.815973676438227,0.0852753160728711,0.0120529485140354,51,5.41769679394598e-11,0.845266228134973,0.796246167894713,0.0822556768131757,0.0107247366566149,0.0755075525081454,0.182016803910138,-0.0113910568093396,0.0244737009931931,0.0360526285415914,0.116756409615563
11,5,"SF",2,"Yes","No","No","No",59,3.8754914603109,1.66985589967632e-11,0.740049565842422,0.860291724752557,0.834146220201677,0.0696729967125505,0.0064025547783748,50,1.27712895066096e-12,0.861472455683595,0.814747759475956,0.0511435754203077,0.00310625136538302,0.165514438477574,2.57070787675413,-0.00137153639220203,0.0235301432130292,0.309175939293727,0.723280444411272
12,5,"SF",5,"Yes","No","No","No",62,3.86324100567314,1.87345105845958e-11,0.740049565842422,0.843168451933116,0.827791568215049,0.0686502367856934,0.00624886197827331,50,1.27712895066096e-12,0.861472455683595,0.814747759475956,0.0511435754203077,0.00310625136538302,0.215111379616946,2.68575275752449,-0.0214763205511437,0.0158828257261767,0.294387699602631,0.698982713270199
8,4,"SF",3,"No","Yes","No","No",58,3.66461155254126,1.35899667155843e-11,0.757460315535073,0.831849038551165,0.834511810269956,0.0716075961672809,0.00648330388899511,50,4.03780280123652e-12,0.816590219945255,0.827517974298758,0.0669883201066669,0.00557264991162766,0.148420005118273,1.21363109602877,0.0185135780503251,0.00841606728990221,0.0666828826329469,0.151359551885076
9,4,"SF",11.5,"No","Yes","No","No",63,3.44644082608523,2.34611059248832e-11,0.757460315535073,0.836489213971128,0.829656174333807,0.0696822221612425,0.00638660206573217,50,4.03780280123652e-12,0.816590219945255,0.827517974298758,0.0669883201066669,0.00557264991162766,0.231111720963387,1.75964330004044,0.0240762238483606,0.00258053895345664,0.039426945555415,0.136331680896796
6,3,"SF",1,"Yes","No","No","No",145,7.52284776833561,2.41048449309809e-10,0.746160534081985,0.824240431590221,0.792538184949607,0.0802771538576861,0.010133349976693,133,1.17902010306868e-10,0.775692131717212,0.803229374710999,0.0721686379146871,0.00788917700553838,0.0863846141988205,0.715144089419674,0.0607065692744408,-0.0133996328766798,0.106479496988737,0.250340141312523
4,2,"SF",7.5,"Yes","Yes","No","Yes",55,3.69626758433432,7.45449353854258e-12,0.751304108410538,0.807026622030738,0.790374444138948,0.0666989687821377,0.00723238133163478,141,1.65354299947211e-10,0.759261275054172,0.798317293453897,0.0749197899929555,0.00916822756757484,-0.941426705145697,-3.09927343411363,0.0610107025434571,-0.00999931617726282,-0.116228582223679,-0.237175631528992
2,1,"SF",5,"Yes","No","No","Yes",32,3.49471396161419,1.0766719086543e-12,0.770830536176456,0.881054632321176,0.81313752605952,0.103909204961284,0.0139231180097385,46,9.29403890943704e-11,0.882420046681462,0.771952781315029,0.101636739272392,0.0159791725247321,-0.362905493689369,-4.45808359288571,-0.00154855031308385,0.0519768699324077,0.022112411818946,-0.137735532290116
