TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value,Body_length_HBW,Body_mass_HBW,Breeding_HBW,Movement_patt_HBW
6009319,Thraupis palmarum,Thraupis palmarum,Palm Tanager,10,0,0,0,0,0,60,10,20,0,0,0,0,0,20,70,10,0,39,17,37.5,N,Full Migrant
6009320,Thraupis cyanocephala,Thraupis cyanocephala,Blue-capped Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,0,20,70,10,0,36,16,37,N,Not a Migrant
6009335,Anisognathus igniventris,Anisognathus igniventris,Scarlet-bellied Mountain-tanager,10,0,0,0,0,0,50,0,20,20,0,0,0,20,50,30,0,0,34,16,31.25,N,Not a Migrant
6009336,Anisognathus somptuosus,Anisognathus somptuosus,Blue-winged Mountain-tanager,10,0,0,0,0,0,50,0,40,0,0,0,0,30,50,20,0,0,44,16.5,44.5,N,Not a Migrant
6009337,Anisognathus notabilis,Anisognathus notabilis,Black-chinned Mountain-tanager,0,0,0,0,0,0,100,0,0,0,0,0,0,20,70,10,0,0,39,18,56.3,N,Not a Migrant
6009349,Euphonia affinis,Euphonia affinis,Scrub Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,40,40,20,0,0,10,9,10.65,N,Not a Migrant
6009350,Euphonia luteicapilla,Euphonia luteicapilla,Yellow-crowned Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,0,30,70,0,0,13,9,12.95,N,Not a Migrant
6009351,Euphonia chlorotica,Euphonia chlorotica,Purple-throated Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,0,10,90,0,0,11,9.5,11.15,N,Not a Migrant
6009356,Euphonia violacea,Euphonia violacea,Violaceous Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,30,40,30,0,0,15,10,14.75,N,Not a Migrant
6009357,Euphonia laniirostris,Euphonia laniirostris,Thick-billed Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,0,70,30,0,0,15,10,14.75,N,Not a Migrant
6009360,Euphonia elegantissima,Euphonia elegantissima,Blue-rumped Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,0,40,60,0,0,15,10,15,N,Not a Migrant
6009363,Euphonia imitans,Euphonia imitans,Spot-crowned Euphonia,20,0,0,0,0,0,70,10,0,0,0,0,0,20,30,50,0,0,14,10,14,N,Not a Migrant
6009365,Euphonia gouldi,Euphonia gouldi,Olive-backed Euphonia,0,0,0,0,0,0,100,0,0,0,0,0,0,10,40,50,0,0,14,9.5,13.45,N,Not a Migrant
6009366,Euphonia chrysopasta,Euphonia chrysopasta,White-lored Euphonia,50,0,0,0,0,0,50,0,0,0,0,0,0,0,30,70,0,0,14,9.5,13.6,N,Not a Migrant
6009368,Euphonia minuta,Euphonia minuta,White-vented Euphonia,60,0,0,0,0,0,40,0,0,0,0,0,0,0,30,70,0,0,10,9,9.7,N,Not a Migrant
6009370,Euphonia xanthogaster,Euphonia xanthogaster,Orange-bellied Euphonia,0,0,0,0,0,0,90,0,0,10,0,0,0,20,60,20,0,0,13,10,12.5,N,Not a Migrant
6009371,Euphonia rufiventris,Euphonia rufiventris,Rufous-bellied Euphonia,0,0,0,0,0,0,80,0,20,0,0,0,0,0,60,40,0,0,14,10,15.5,N,Not a Migrant
6009373,Euphonia pectoralis,Euphonia pectoralis,Chestnut-bellied Euphonia,20,0,0,0,0,0,70,10,0,0,0,0,0,0,30,70,0,0,14.4,11,15.75,N,Not a Migrant
6009375,Chlorophonia cyanea,Chlorophonia cyanea,Blue-naped Chlorophonia,10,0,0,0,0,0,90,0,0,0,0,0,0,0,20,80,0,0,14,11,13,N,Not a Migrant
6009377,Chlorophonia occipitalis,Chlorophonia occipitalis,Blue-crowned Chlorophonia,10,0,0,0,0,0,90,0,0,0,0,0,0,0,40,60,0,0,25.8,13,26.25,N,Not a Migrant
6009378,Chlorophonia callophrys,Chlorophonia callophrys,Golden-browed Chlorophonia,10,0,0,0,0,0,90,0,0,0,0,0,0,0,10,90,0,0,25.8,13,24,N,Not a Migrant
6009379,Chlorochrysa phoenicotis,Chlorochrysa phoenicotis,Glistening-green Tanager,60,0,0,0,0,0,40,0,0,0,0,0,0,20,70,10,0,0,21.8,13,22.25,N,Not a Migrant
6009383,Tangara mexicana,Tangara mexicana,Turquoise Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,30,30,40,0,0,20.5,13,22.16666667,N,Not a Migrant
6009386,Tangara chilensis,Tangara chilensis,Paradise Tanager,20,0,0,0,0,0,80,0,0,0,0,0,0,0,20,80,0,0,19.77,12.5,19.25,N,Not a Migrant
6009388,Tangara seledon,Tangara seledon,Green-headed Tanager,20,0,0,0,0,0,80,0,0,0,0,0,0,0,40,60,0,0,18.7,13,18.7,N,Not a Migrant
6009393,Tangara schrankii,Tangara schrankii,Green-and-gold Tanager,20,0,0,0,0,0,60,0,20,0,0,0,0,0,60,40,0,0,19,12,18.5,N,Not a Migrant
6009395,Tangara arthus,Tangara arthus,Golden Tanager,40,0,0,0,0,0,60,0,0,0,0,0,0,10,60,30,0,0,22,13,23.1,N,Not a Migrant
6009396,Tangara icterocephala,Tangara icterocephala,Silver-throated Tanager,20,0,0,0,0,0,80,0,0,0,0,0,0,10,30,60,0,0,22,13,21.2,N,Not a Migrant
6009399,Tangara parzudakii,Tangara parzudakii,Flame-faced Tanager,40,0,0,0,0,0,60,0,0,0,0,0,0,30,40,30,0,0,28,14,28,N,Not a Migrant
6009400,Tangara xanthogastra,Tangara xanthogastra,Yellow-bellied Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,0,40,60,0,0,15,11,15.5,N,Not a Migrant
6009402,Tangara guttata,Tangara guttata,Speckled Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,10,30,60,0,0,18.4,12,17.75,N,Not a Migrant
6009404,Tangara rufigula,Tangara rufigula,Rufous-throated Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,10,60,30,0,0,19.1,12,19.1,N,Not a Migrant
6009405,Tangara gyrola,Tangara gyrola,Bay-headed Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,10,50,40,0,0,21,12,22,N,Not a Migrant
6009414,Tangara ruficervix,Tangara ruficervix,Golden-naped Tanager,50,0,0,0,0,0,50,0,0,0,0,0,0,0,50,50,0,0,19,13,19.1,N,Not a Migrant
6009415,Tangara labradorides,Tangara labradorides,Metallic-green Tanager,70,0,0,0,0,0,30,0,0,0,0,0,0,20,50,30,0,0,15,12,14.7,N,Not a Migrant
6009418,Tangara larvata,Tangara larvata,Golden-hooded Tanager,40,0,0,0,0,0,60,0,0,0,0,0,0,10,80,10,0,0,20,12,20.5,N,Not a Migrant
6009419,Tangara nigrocincta,Tangara nigrocincta,Masked Tanager,20,0,0,0,0,0,80,0,0,0,0,0,0,0,20,80,0,0,17,12,16.4,N,Not a Migrant
6009422,Tangara nigroviridis,Tangara nigroviridis,Beryl-spangled Tanager,80,0,0,0,0,0,20,0,0,0,0,0,0,40,40,20,0,0,17,12,16.75,N,Not a Migrant
6009423,Tangara vassorii,Tangara vassorii,Blue-and-black Tanager,30,0,0,0,0,0,70,0,0,0,0,0,0,30,40,30,0,0,18,13,18,N,Not a Migrant
6009430,Tangara callophrys,Tangara callophrys,Opal-crowned Tanager,20,0,0,0,0,0,80,0,0,0,0,0,0,0,30,70,0,0,22.9,14,22.5,N,Not a Migrant
6009434,Dacnis lineata,Dacnis lineata,Black-faced Dacnis,20,0,0,0,0,0,80,0,0,0,0,0,0,0,30,70,0,0,11,11,11.25,N,Not a Migrant
6009435,Dacnis flaviventer,Dacnis flaviventer,Yellow-bellied Dacnis,20,0,0,0,0,0,60,20,0,0,0,0,0,0,50,50,0,0,13,11,13,N,Not a Migrant
6009437,Dacnis venusta,Dacnis venusta,Scarlet-thighed Dacnis,30,0,0,0,0,0,60,0,0,10,0,0,0,20,50,30,0,0,16.1,12,16,N,Not a Migrant
6009438,Dacnis cayana,Dacnis cayana,Blue Dacnis,50,0,0,0,0,0,40,0,0,10,0,0,0,0,30,60,10,0,13,11.5,13.5,N,Full Migrant
6009441,Chlorophanes spiza,Chlorophanes spiza,Green Honeycreeper,20,0,0,0,0,0,60,10,0,10,0,0,0,10,30,60,0,0,19,13,18.5,N,Not a Migrant
6009443,Cyanerpes lucidus,Cyanerpes lucidus,Shining Honeycreeper,40,0,0,0,0,0,40,20,0,0,0,0,0,0,30,70,0,0,11.4,10,11,N,Not a Migrant
6009444,Cyanerpes caeruleus,Cyanerpes caeruleus,Purple Honeycreeper,40,0,0,0,0,0,30,30,0,0,0,0,10,10,20,60,0,0,12,10,10.9,N,Not a Migrant
6009445,Cyanerpes cyaneus,Cyanerpes cyaneus,Red-legged Honeycreeper,40,0,0,0,0,0,40,20,0,0,0,0,0,20,40,40,0,0,14,12,14.65,N,Not a Migrant
6009448,Catamblyrhynchus diadema,Catamblyrhynchus diadema,Plushcap,80,0,0,0,0,0,0,0,0,20,0,0,0,0,60,40,0,0,14.13,14,16,N,Not a Migrant
6009449,Oreothraupis arremonops,Oreothraupis arremonops,Tanager Finch,40,0,0,0,0,0,20,0,30,10,0,0,50,50,0,0,0,0,73.72,20.25,53.09,N,Not a Migrant
6009471,Haplospiza rustica,Haplospiza rustica,Slaty Finch,0,0,0,0,0,0,0,0,100,0,0,0,80,20,0,0,0,0,15.6,12.5,15.5,N,Not a Migrant
6009472,Haplospiza unicolor,Haplospiza unicolor,Uniform Finch,0,0,0,0,0,0,0,0,100,0,0,0,80,20,0,0,0,0,15.28,12.5,15.75,N,Not a Migrant
6009505,Poospiza melanoleuca,Poospiza melanoleuca,Black-capped Warbling-finch,40,0,0,0,0,0,20,0,30,10,0,0,50,50,0,0,0,0,13.1,13,12,N,Not a Migrant
6009525,Volatinia jacarina,Volatinia jacarina,Blue-black Grassquit,40,0,0,0,0,0,20,0,30,10,0,0,100,0,0,0,0,0,9.94,9.8,10,N,Full Migrant
